"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2
7750082002630	COUNTER	LIBRERIA		Plastilina Delgada 90gr - Artesco			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082207394	COUNTER	LIBRERIA		Regla 20 cm - Artesco		docena	0.333333333333333	0.8	-8	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082002623	COUNTER	LIBRERIA		Plastilina Jumbo 180gr - Artesco			0	4.8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082002647	COUNTER	LIBRERIA		Crayolas Jumbo 120gr - Artesco			0	5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082007581	COUNTER	LIBRERIA		Plumones Delgados - Artesco			0	6.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
6939540507387	COUNTER	LIBRERIA		ClipsColores 100 Unds- Paper Colour Clip			0	3.5	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082010154	COUNTER	LIBRERIA		Perforador M01 - Artesco			0	8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750805000318	COUNTER	LIBRERIA		Fichas Bibliográficas 			0	0.1	40	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
000123457689	COUNTER	LIBRERIA		Sticker precio - Económika			0	2	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7751912000130	COUNTER	GASEOSA		Concordia		Paq. de 15	1.06666666666667	1.5	-12	0	1899:12:30:00:00:00	2017:02:28:00:00:00	
04133301463	COUNTER	LIBRERIA		pila duracell AA2			0	6	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0777712345878	COUNTER	LIBRERIA		Libreta Notas - Espiral Grande			0	3.5	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0001243567891	COUNTER	LIBRERIA		Papel de Regalo		Paq de 50 o 100	0.2	0.5	-28	0	1899:12:30:00:00:00	2017:04:07:00:00:00	
012345678998	COUNTER	LIBRERIA		Cinta de Embalaje pequeño		docena	0.5	1	-29	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7752025003758	COUNTER	SNACK		Cheetos bolita de maiz Grande			0	1	-74	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0000123456788	COUNTER	LIBRERIA		Lentejuelas - Sobre			0	0.3	32	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7755873142984	COUNTER	LIBRERIA		Cuaderno Espiralado - Shark			0	12	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
01075359	COUNTER	LIBRERIA		Talonario Recibo para pago 		Paq. de 10	0.6	1.2	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
01075397	COUNTER	LIBRERIA		Talonario Guia Remision			0	3.9	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
4719867213084	COUNTER	LIBRERIA		Super Glue 			0	1	6	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
4026700424256	COUNTER	LIBRERIA		Uhu - 20ml			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754005381918	COUNTER	LIBRERIA		Masking Tape - Pegafan 1/2 x 25 yds			0	2.5	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754005016810	COUNTER	LIBRERIA		Masking Tape - Pegafan 36mm x 20 yds			0	3.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
000123547688	COUNTER	LIBRERIA		Cartulina - Plastificada			0	1.5	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
75551466818	COUNTER	LIBRERIA		Colores Layconsa - Caja Chica  x 12	LAYCONSA		2.83333333333333	4	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750670000550	COUNTER	GASEOSA		Pulp - Botella Vidrio			0	1.5	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750277000403	COUNTER	LIBRERIA		Sobre Carta Gallo			0	0.2	-28	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
000012345678	COUNTER	LIBRERIA		Papel - Calca A4			0	0.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
6925410800511	COUNTER	LIBRERIA		Clip de Colores (delfín)			0	3.5	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0002457893	COCINA	PASTELERIA		Queque			0	1.5	-9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082012165	COUNTER	LIBRERIA		Clip Mariposa (Sujetador) -binder			0	0.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0001234567	COUNTER	LIBRERIA		Laminas Escolares			0	4	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00012345678	COUNTER	LIBRERIA		Tecnopor - Variado			0	3	6	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
