"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2	"ACTIVO",0	"PROVEE",0
PROY006	COUNTER	LIBRERIA		Proyecto Escolar - Garra Electrónica			0	55	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
PROY007	COUNTER	LIBRERIA		Proyecto Escolar - Amplificador de Rádio			0	60	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750082010246	COUNTER	LIBRERIA		Sacagrapas Artesco 			0	2.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082007543	COUNTER	LIBRERIA		Goma en barra - Artesco 8gr		Docena	0.833333333333333	1.5	9	0	1899:12:30:00:00:00	2017:05:05:00:00:00	V	
7754005009072	COUNTER	LIBRERIA		Goma en barra - Pegafan 25gr			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
3013017335468	COUNTER	LIBRERIA		Colores Chico - Ove			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7754005008556	COUNTER	LIBRERIA		Cola Sintética - Pegafan 60g			0	2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7754005008549	COUNTER	LIBRERIA		Cola Sintética - Pegafan 130g			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7750082208865	COUNTER	LIBRERIA		Corrector (Liquid) Artesco  9 ml 		Caja de 12	2	3	9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
78021426	COUNTER	SNACK		Bon o Bon Bolita			0	0.7	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
#359	COUNTER	SNACK		Galletas Rellenitas			0.5975	0.8	14		2018:09:13:10:37:51	2018:09:13:10:37:51	V	
#361	COUNTER	SNACK		Galleta Black Out			0.5125	0.8	8		2018:09:13:10:40:36	2018:09:13:10:40:36	V	
7750885434621	COUNTER	SNACK		Wafer Nik Costa grande	COSTA	Paq. de 6	0.821666666666667	1.2	0	0	2017:06:02:15:58:59	2017:06:02:15:58:59	F	
00299882119	COUNTER	SNACK		Galleta Chokis (Chokchis)		Paq. de 6	0.72	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
7802225138802	COUNTER	SNACK		Chicle Grosso			0.168	0.2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	
#349	COUNTER	SNACK		Ritz Taco X 14		Caja de 14	0	1.5	1		2018:09:08:21:22:14	2018:09:08:21:22:14	V	
7757174002554	COUNTER	SNACK		Chocolate Sapito			0.275	0.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7613035049628	COUNTER	SNACK		Chocolate Sublime Sonrisa 42g	NESTLE	Caja de 20	1.33	1.8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	F	33
7750885434614	COUNTER	SNACK		Wafer Nik Costa 29g	COSTA	Paq. de 6	0.4	0.6	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7613031523092	COUNTER	SNACK		Sublime Mini FUN	NESTLE	Tira de 12	0.9691	1.2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	33
7750885635011	COUNTER	SNACK		Galleta Chips Chocolate 36g	Costa	Paq. de 6	0.5	0.7	2	0	2017:04:03:17:35:08	2017:04:03:17:35:08	V	
7750885610247	COUNTER	SNACK		Galleta Tuareg- Costa			0	0.7	0	0	2017:03:02:12:10:42	2017:03:02:12:10:42	F	
